component1,component2,component3,sigma,lcm
-4.432404,-1.4580685,-0.552487,0.13,0.6
-4.4262743,-1.4713352,-0.54367906,0.14,0.6
-4.419782,-1.4852743,-0.533922,0.15,0.6
-4.4129553,-1.4998258,-0.5231876,0.16,0.6
-4.40582,-1.5149256,-0.511459,0.17,0.6
-4.3984,-1.530508,-0.49872687,0.18,0.6
-4.3907175,-1.5465027,-0.48498675,0.19,0.6
-4.3813853,-1.5642724,-0.46876755,0.2,0.6
-4.371342,-1.5827976,-0.45105407,0.21,0.6
-4.3631697,-1.599819,-0.43520948,0.22,0.6
-4.3553033,-1.6170474,-0.41895524,0.23,0.6
-4.347249,-1.6345928,-0.4019048,0.24,0.6
-4.339057,-1.651848,-0.3838087,0.25,0.6
-4.331108,-1.6680068,-0.3643318,0.26,0.6
-4.3228955,-1.6839626,-0.34400687,0.27,0.6
-4.314413,-1.6996552,-0.32288268,0.28,0.6
-4.3053503,-1.7148557,-0.30162153,0.29,0.6
-4.295846,-1.7295932,-0.27999339,0.3,0.6
-4.2860374,-1.7439018,-0.25777653,0.31,0.6
-4.2759285,-1.7577438,-0.23502223,0.32,0.6
-4.265519,-1.7710865,-0.2117853,0.33,0.6
-4.254816,-1.7839017,-0.18811773,0.34,0.6
-4.2437716,-1.7962345,-0.16405664,0.35,0.6
-4.231824,-1.8090363,-0.13995491,0.36,0.6
-4.218487,-1.8226768,-0.11842004,0.37,0.6
-4.2047815,-1.836813,-0.096687056,0.38,0.6
-4.191655,-1.8496363,-0.077517845,0.39,0.6
-4.1778297,-1.8620013,-0.05772279,0.4,0.6
-4.165625,-1.8765228,-0.041213017,0.41,0.6
-4.153,-1.8925996,-0.026330331,0.42,0.6
-4.139218,-1.9063475,-0.012652914,0.43,0.6
-4.1252956,-1.9195719,0.0013097128,0.44,0.6
-4.111245,-1.9322729,0.015531023,0.45,0.6
-4.097082,-1.9444507,0.029985448,0.46,0.6
-4.0828195,-1.9561088,0.044651825,0.47,0.6
-4.068471,-1.967253,0.05950441,0.48,0.6
-4.0540504,-1.9778876,0.07452192,0.49,0.6
-4.0395694,-1.988021,0.08968272,0.5,0.6
-4.0250416,-1.9976633,0.1049666,0.51,0.6
-4.010478,-2.006822,0.12035336,0.52,0.6
-3.995891,-2.015509,0.13582559,0.53,0.6
-3.9812925,-2.0237346,0.15136494,0.54,0.6
-3.9666908,-2.0315106,0.166954,0.55,0.6
-3.9510994,-2.0397215,0.18063886,0.56,0.6
-3.9348085,-2.0481324,0.19294949,0.57,0.6
-3.9185498,-2.0561535,0.20528741,0.58,0.6
-3.9020054,-2.064342,0.2171159,0.59,0.6
-3.884618,-2.0752168,0.22600998,0.6,0.6
-3.8672614,-2.0880105,0.23301204,0.61,0.6
-3.8501143,-2.1001697,0.23989351,0.62,0.6
-3.8332162,-2.1116648,0.24653424,0.63,0.6
-3.8164458,-2.1226711,0.25331995,0.64,0.6
-3.7994306,-2.1335962,0.25991496,0.65,0.6
-3.7825396,-2.144073,0.2666231,0.66,0.6
-3.765803,-2.1540883,0.2734551,0.67,0.6
-3.7492247,-2.1636574,0.28040048,0.68,0.6
-3.7328055,-2.172794,0.28744915,0.69,0.6
-3.7165494,-2.1815124,0.2945929,0.7,0.6
-3.7004578,-2.1898267,0.30182222,0.71,0.6
-3.684531,-2.1977487,0.30912903,0.72,0.6
-3.6687725,-2.2052941,0.31650397,0.73,0.6
-3.6531813,-2.212475,0.32394102,0.74,0.6
-3.6377594,-2.2193031,0.33143243,0.75,0.6
-3.6225061,-2.2257922,0.33897093,0.76,0.6
-3.6074228,-2.2319531,0.34655002,0.77,0.6
-3.592509,-2.237798,0.35416463,0.78,0.6
-3.5777638,-2.243338,0.36180684,0.79,0.6
-3.5631886,-2.2485857,0.369473,0.8,0.6
-3.5487814,-2.2535505,0.3771564,0.81,0.6
-3.534542,-2.258243,0.3848535,0.82,0.6
-3.5204697,-2.2626736,0.39255795,0.83,0.6
-3.506564,-2.2668529,0.40026727,0.84,0.6
-3.4928224,-2.2707887,0.40797588,0.85,0.6
-3.4792457,-2.274491,0.41568068,0.86,0.6
-3.4658303,-2.2779694,0.42337778,0.87,0.6
-3.4525774,-2.281231,0.43106368,0.88,0.6
-3.439484,-2.284285,0.4387348,0.89,0.6
-3.4265492,-2.2871401,0.44638875,0.9,0.6
-3.413772,-2.2898035,0.45402274,0.91,0.6
-3.4011495,-2.2922812,0.4616337,0.92,0.6
-3.3886812,-2.2945824,0.46921858,0.93,0.6
-3.376365,-2.2967134,0.47677612,0.94,0.6
-3.3641994,-2.2986808,0.48430327,0.95,0.6
-3.3521817,-2.3004904,0.49179855,0.96,0.6
-3.340312,-2.3021493,0.49926078,0.97,0.6
-3.328587,-2.3036633,0.5066865,0.98,0.6
-3.3170056,-2.3050387,0.51407474,0.99,0.6
-3.3055656,-2.3062794,0.5214248,1.0,0.6
-5.795206,-2.1866043,-0.64939797,0.01,0.7
-5.792103,-2.188338,-0.6472108,0.02,0.7
-5.786825,-2.190898,-0.64357823,0.03,0.7
-5.7794886,-2.1943548,-0.6384902,0.04,0.7
-5.7702208,-2.1987486,-0.631935,0.05,0.7
-5.759134,-2.2040424,-0.62390757,0.06,0.7
-5.746353,-2.2101932,-0.61440164,0.07,0.7
-5.7323523,-2.216497,-0.6030825,0.08,0.7
-5.7169733,-2.223463,-0.5902422,0.09,0.7
-5.7003384,-2.2310488,-0.5758954,0.1,0.7
-5.6825743,-2.239193,-0.56005895,0.11,0.7
-5.6637993,-2.2478275,-0.5427588,0.12,0.7
-5.644123,-2.2568767,-0.52402115,0.13,0.7
-5.623642,-2.2662644,-0.50388706,0.14,0.7
-5.602444,-2.275906,-0.48239633,0.15,0.7
-5.580605,-2.2857158,-0.459605,0.16,0.7
-5.55819,-2.2956069,-0.43557325,0.17,0.7
-5.535255,-2.3054903,-0.41036353,0.18,0.7
-5.5118456,-2.3152804,-0.38404855,0.19,0.7
-5.488005,-2.324894,-0.35670915,0.2,0.7
-5.463768,-2.3342502,-0.3284233,0.21,0.7
-5.4391623,-2.3432765,-0.2992786,0.22,0.7
-5.4135246,-2.3524985,-0.27096578,0.23,0.7
-5.386685,-2.362587,-0.24601321,0.24,0.7
-5.3589635,-2.3700607,-0.22450016,0.25,0.7
-5.3305635,-2.3767374,-0.20310752,0.26,0.7
-5.301706,-2.383507,-0.1811627,0.27,0.7
-5.272917,-2.392387,-0.15757684,0.28,0.7
-5.2433953,-2.4010098,-0.13262127,0.29,0.7
-5.2145586,-2.4124112,-0.11104069,0.3,0.7
-5.185918,-2.422788,-0.09407041,0.31,0.7
-5.157161,-2.432495,-0.076578,0.32,0.7
-5.128315,-2.441525,-0.058610063,0.33,0.7
-5.09941,-2.4498744,-0.040209334,0.34,0.7
-5.0704727,-2.4575467,-0.021418551,0.35,0.7
-5.0416574,-2.465197,-0.002936105,0.36,0.7
-5.0129857,-2.4728103,0.015218695,0.37,0.7
-4.9843645,-2.4798007,0.03361251,0.38,0.7
-4.955817,-2.4861772,0.052209813,0.39,0.7
-4.9273667,-2.4919543,0.07097813,0.4,0.7
-4.899032,-2.4971452,0.0898849,0.41,0.7
-4.870835,-2.5017667,0.10890224,0.42,0.7
-4.8427916,-2.5058365,0.12800087,0.43,0.7
-4.812794,-2.5112262,0.14302517,0.44,0.7
-4.782952,-2.5161297,0.15801586,0.45,0.7
-4.7533684,-2.5204885,0.173126,0.46,0.7
-4.7240562,-2.524321,0.188334,0.47,0.7
-4.695027,-2.5276482,0.20361795,0.48,0.7
-4.6651077,-2.5357866,0.21405299,0.49,0.7
-4.6351027,-2.545536,0.22223033,0.5,0.7
-4.605104,-2.5550668,0.2296455,0.51,0.7
-4.575379,-2.5640776,0.23719586,0.52,0.7
-4.54603,-2.5724792,0.24495341,0.53,0.7
-4.5170603,-2.5802941,0.25289986,0.54,0.7
-4.488475,-2.5875447,0.2610205,0.55,0.7
-4.4602733,-2.5942519,0.2692956,0.56,0.7
-4.432459,-2.600439,0.27771196,0.57,0.7
-4.405038,-2.606148,0.28624323,0.58,0.7
-4.378126,-2.611764,0.2946557,0.59,0.7
-4.351602,-2.6169255,0.30316773,0.6,0.7
-4.3254614,-2.6216488,0.31176582,0.61,0.7
-4.2997017,-2.6259534,0.3204384,0.62,0.7
-4.2743216,-2.629858,0.3291771,0.63,0.7
-4.2493176,-2.6333797,0.33797112,0.64,0.7
-4.2246876,-2.6365364,0.34680977,0.65,0.7
-4.2004256,-2.6393423,0.3556855,0.66,0.7
-4.176531,-2.6418166,0.3645889,0.67,0.7
-4.152996,-2.643972,0.37351367,0.68,0.7
-4.129819,-2.6458247,0.3824518,0.69,0.7
-4.106993,-2.647387,0.39139697,0.7,0.7
-4.0845175,-2.6486754,0.4003419,0.71,0.7
-4.062383,-2.649701,0.409281,0.72,0.7
-4.040589,-2.6504781,0.4182097,0.73,0.7
-4.019128,-2.6510181,0.42712155,0.74,0.7
-3.9979956,-2.6513321,0.43601325,0.75,0.7
-3.9771867,-2.651432,0.44487843,0.76,0.7
-3.956696,-2.6513286,0.45371452,0.77,0.7
-3.9365203,-2.6510332,0.46251765,0.78,0.7
-3.916652,-2.6505523,0.4712837,0.79,0.7
-3.8970878,-2.6498985,0.4800096,0.8,0.7
-3.8778217,-2.64908,0.48869225,0.81,0.7
-3.8588486,-2.6481047,0.49732968,0.82,0.7
-3.8401644,-2.646982,0.50591904,0.83,0.7
-3.8217638,-2.645719,0.514457,0.84,0.7
-3.8036406,-2.6443229,0.52294326,0.85,0.7
-3.7857912,-2.6428013,0.5313747,0.86,0.7
-3.7682106,-2.641162,0.53974926,0.87,0.7
-3.7508943,-2.63941,0.5480665,0.88,0.7
-3.7338371,-2.6375527,0.556324,0.89,0.7
-3.7170336,-2.6355958,0.5645213,0.9,0.7
-3.7004807,-2.6335454,0.5726565,0.91,0.7
-3.6841729,-2.6314054,0.5807294,0.92,0.7
-3.6681056,-2.6291819,0.5887377,0.93,0.7
-3.6522746,-2.6268806,0.5966821,0.94,0.7
-3.636676,-2.6245055,0.60456115,0.95,0.7
-3.6213057,-2.6220608,0.61237454,0.96,0.7
-3.606158,-2.619551,0.62012076,0.97,0.7
-3.5912304,-2.61698,0.62780035,0.98,0.7
-3.576518,-2.6143522,0.63541234,0.99,0.7
-3.5620167,-2.611671,0.6429566,1.0,0.7
-6.5319424,-3.1200886,-0.59019876,0.01,0.8
-6.5285535,-3.120453,-0.58741605,0.02,0.8
-6.522929,-3.1210485,-0.5827879,0.03,0.8
-6.5151043,-3.1218548,-0.57632387,0.04,0.8
-6.505128,-3.1228473,-0.56804085,0.05,0.8
-6.493062,-3.12399,-0.5579604,0.06,0.8
-6.478979,-3.1252365,-0.5460962,0.07,0.8
-6.462961,-3.1265292,-0.5324719,0.08,0.8
-6.444949,-3.1277602,-0.5167546,0.09,0.8
-6.425085,-3.1288676,-0.499081,0.1,0.8
-6.4035463,-3.1297877,-0.47966787,0.11,0.8
-6.380246,-3.1308904,-0.45827696,0.12,0.8
-6.3561077,-3.1338453,-0.4349924,0.13,0.8
-6.3308916,-3.1372924,-0.41014728,0.14,0.8
-6.3041096,-3.1398087,-0.38417956,0.15,0.8
-6.2760053,-3.1415446,-0.36124632,0.16,0.8
-6.2491345,-3.1457005,-0.34133264,0.17,0.8
-6.2203712,-3.1495042,-0.32016334,0.18,0.8
-6.1900854,-3.15281,-0.29779145,0.19,0.8
-6.15893,-3.1554146,-0.2742853,0.2,0.8
-6.126985,-3.157274,-0.24971496,0.21,0.8
-6.094326,-3.1583488,-0.2241479,0.22,0.8
-6.0610275,-3.1586175,-0.19766496,0.23,0.8
-6.0271616,-3.15807,-0.17035268,0.24,0.8
-5.992799,-3.1567023,-0.14229666,0.25,0.8
-5.9574785,-3.1542258,-0.114630915,0.26,0.8
-5.92132,-3.150683,-0.087345935,0.27,0.8
-5.884861,-3.1463661,-0.059574943,0.28,0.8
-5.8481684,-3.141302,-0.0313978,0.29,0.8
-5.8113036,-3.1355257,-0.0028894942,0.3,0.8
-5.7728376,-3.130362,0.022999307,0.31,0.8
-5.732546,-3.1260953,0.04564919,0.32,0.8
-5.692856,-3.122619,0.06732979,0.33,0.8
-5.653371,-3.118792,0.08897819,0.34,0.8
-5.6133823,-3.115296,0.10997679,0.35,0.8
-5.573678,-3.1121073,0.12938716,0.36,0.8
-5.533163,-3.1142812,0.14325179,0.37,0.8
-5.4924316,-3.1175046,0.15569027,0.38,0.8
-5.451128,-3.1209507,0.1670096,0.39,0.8
-5.4093227,-3.124607,0.1772833,0.4,0.8
-5.367811,-3.1277137,0.18774112,0.41,0.8
-5.3263273,-3.1308937,0.19769551,0.42,0.8
-5.2853537,-3.133408,0.20786531,0.43,0.8
-5.2449036,-3.1352859,0.21822657,0.44,0.8
-5.2049913,-3.136558,0.2287571,0.45,0.8
-5.1656246,-3.1372554,0.23943771,0.46,0.8
-5.126814,-3.1374068,0.25024733,0.47,0.8
-5.0885644,-3.1370435,0.26116678,0.48,0.8
-5.050881,-3.1361914,0.27218035,0.49,0.8
-5.013766,-3.1348798,0.28326985,0.5,0.8
-4.9772196,-3.133133,0.29442015,0.51,0.8
-4.9411244,-3.1310802,0.30560556,0.52,0.8
-4.9055777,-3.1286595,0.3168203,0.53,0.8
-4.870583,-3.12589,0.32805523,0.54,0.8
-4.836139,-3.122794,0.33929887,0.55,0.8
-4.802243,-3.11939,0.35053977,0.56,0.8
-4.7688904,-3.1157002,0.36176828,0.57,0.8
-4.7360764,-3.1117444,0.37297508,0.58,0.8
-4.7039185,-3.1079135,0.3839281,0.59,0.8
