component1,component2,component3,sigma,lcm
-4.9055867,-5.5678773,1.475727,0.42,1.7
-4.906472,-5.53011,1.4797379,0.43,1.7
-4.906633,-5.4925523,1.4837973,0.44,1.7
-4.9060807,-5.455231,1.487892,0.45,1.7
-4.90483,-5.418175,1.4920131,0.46,1.7
-4.9028945,-5.3814034,1.4961466,0.47,1.7
-4.900291,-5.344937,1.500286,0.48,1.7
-4.8970385,-5.3087945,1.504422,0.49,1.7
-4.8931565,-5.2729917,1.5085455,0.5,1.7
-4.8883295,-5.2377496,1.5126518,0.51,1.7
-4.882373,-5.2032104,1.5167327,0.52,1.7
-4.875864,-5.169038,1.5207833,0.53,1.7
-4.8688226,-5.135241,1.524798,0.54,1.7
-4.86127,-5.1018276,1.5287727,0.55,1.7
-4.853231,-5.068803,1.532705,0.56,1.7
-4.8447266,-5.0361714,1.53659,0.57,1.7
-4.835779,-5.0039387,1.5404243,0.58,1.7
-4.8264112,-4.972108,1.5442073,0.59,1.7
-4.816643,-4.94068,1.5479344,0.6,1.7
-4.8064966,-4.909656,1.5516058,0.61,1.7
-4.7959924,-4.8790383,1.5552199,0.62,1.7
-4.7851524,-4.8488255,1.5587741,0.63,1.7
-4.7739954,-4.819015,1.5622698,0.64,1.7
-4.76254,-4.7896094,1.5657047,0.65,1.7
-4.7508073,-4.7606053,1.5690784,0.66,1.7
-4.7388144,-4.732,1.5723912,0.67,1.7
-4.7265787,-4.703791,1.5756425,0.68,1.7
-4.7141185,-4.6759763,1.5788338,0.69,1.7
-4.7014494,-4.648552,1.5819639,0.7,1.7
-4.688587,-4.621515,1.5850323,0.71,1.7
-4.6755486,-4.5948606,1.5880414,0.72,1.7
-4.662347,-4.568586,1.5909901,0.73,1.7
-4.6489973,-4.5426865,1.5938799,0.74,1.7
-4.6355124,-4.517157,1.5967115,0.75,1.7
-4.621907,-4.4919944,1.5994841,0.76,1.7
-4.608192,-4.467195,1.6022,0.77,1.7
-4.5943794,-4.4427505,1.6048588,0.78,1.7
-4.580483,-4.4186606,1.6074622,0.79,1.7
-4.56651,-4.3949165,1.6100097,0.8,1.7
-4.552473,-4.371517,1.6125041,0.81,1.7
-4.5383816,-4.348455,1.6149439,0.82,1.7
-4.524246,-4.325726,1.6173307,0.83,1.7
-4.510072,-4.3033247,1.6196648,0.84,1.7
-4.4958725,-4.281247,1.6219473,0.85,1.7
-4.4816523,-4.2594867,1.6241786,0.86,1.7
-4.4674206,-4.2380404,1.6263604,0.87,1.7
-4.4531846,-4.2169023,1.6284913,0.88,1.7
-4.43895,-4.1960673,1.6305736,0.89,1.7
-4.4247246,-4.175532,1.6326076,0.9,1.7
-4.410514,-4.155289,1.6345922,0.91,1.7
-4.396324,-4.1353354,1.6365308,0.92,1.7
-4.38216,-4.115667,1.6384208,0.93,1.7
-4.368027,-4.0962768,1.6402651,0.94,1.7
-4.3539305,-4.0771623,1.6420634,0.95,1.7
-4.339875,-4.0583177,1.6438152,0.96,1.7
-4.325863,-4.039739,1.645522,0.97,1.7
-4.311901,-4.0214214,1.647184,0.98,1.7
-4.2979903,-4.0033584,1.6488006,0.99,1.7
-4.284137,-3.9855494,1.6503729,1.0,1.7
-4.2934303,-6.3709717,1.7740986,0.01,1.8
-4.2957244,-6.3701243,1.7728075,0.02,1.8
-4.299526,-6.3686805,1.7706867,0.03,1.8
-4.304805,-6.366595,1.7677824,0.04,1.8
-4.3115163,-6.3638034,1.7641586,0.05,1.8
-4.319603,-6.360233,1.7598897,0.06,1.8
-4.328994,-6.3557982,1.755066,0.07,1.8
-4.339606,-6.350409,1.7497833,0.08,1.8
-4.3513455,-6.343976,1.7441419,0.09,1.8
-4.364113,-6.33641,1.7382456,0.1,1.8
-4.377796,-6.3276277,1.7321957,0.11,1.8
-4.3922863,-6.3175607,1.726092,0.12,1.8
-4.40747,-6.3061504,1.7200263,0.13,1.8
-4.423232,-6.293347,1.7140838,0.14,1.8
-4.439465,-6.2791276,1.7083402,0.15,1.8
-4.456061,-6.263471,1.7028627,0.16,1.8
-4.4729195,-6.246382,1.6977082,0.17,1.8
-4.489946,-6.227874,1.6929241,0.18,1.8
-4.5070534,-6.207973,1.6885502,0.19,1.8
-4.5241566,-6.1867127,1.6846153,0.2,1.8
-4.5411816,-6.164147,1.6811413,0.21,1.8
-4.558056,-6.1403265,1.6781394,0.22,1.8
-4.5747166,-6.1153116,1.6756192,0.23,1.8
-4.5913715,-6.08909,1.672844,0.24,1.8
-4.6074247,-6.062891,1.6678097,0.25,1.8
-4.621884,-6.0375843,1.6633898,0.26,1.8
-4.6359844,-6.011267,1.6593974,0.27,1.8
-4.649678,-5.9840083,1.655826,0.28,1.8
-4.662926,-5.95588,1.6526647,0.29,1.8
-4.6756897,-5.926957,1.6499026,0.3,1.8
-4.687931,-5.8973093,1.6475254,0.31,1.8
-4.6996183,-5.867008,1.6455152,0.32,1.8
-4.7107205,-5.836121,1.6438544,0.33,1.8
-4.7212105,-5.8047175,1.6425264,0.34,1.8
-4.731064,-5.77286,1.64151,0.35,1.8
-4.740261,-5.7406106,1.640788,0.36,1.8
-4.748782,-5.70803,1.6403402,0.37,1.8
-4.756614,-5.675173,1.6401476,0.38,1.8
-4.7637444,-5.642093,1.6401901,0.39,1.8
-4.7701664,-5.608841,1.6404501,0.4,1.8
-4.7758727,-5.5754633,1.6409111,0.41,1.8
-4.7808604,-5.5420046,1.6415546,0.42,1.8
-4.7851315,-5.5085053,1.6423634,0.43,1.8
-4.788463,-5.4751453,1.6433228,0.44,1.8
-4.7905893,-5.4421287,1.6444172,0.45,1.8
-4.7920084,-5.409182,1.6456347,0.46,1.8
-4.792733,-5.3763347,1.6469601,0.47,1.8
-4.792775,-5.3436112,1.6483806,0.48,1.8
-4.792149,-5.3110394,1.6498872,0.49,1.8
-4.7908697,-5.2786393,1.6514668,0.5,1.8
-4.7889533,-5.2464323,1.6531098,0.51,1.8
-4.786419,-5.214438,1.6548077,0.52,1.8
-4.783283,-5.1826725,1.6565514,0.53,1.8
-4.779567,-5.15115,1.6583339,0.54,1.8
-4.775288,-5.119887,1.6601472,0.55,1.8
-4.7704687,-5.088892,1.6619858,0.56,1.8
-4.7651253,-5.058178,1.6638412,0.57,1.8
-4.7592816,-5.0277543,1.6657101,0.58,1.8
-4.7529573,-4.9976287,1.6675875,0.59,1.8
-4.746172,-4.9678087,1.6694677,0.6,1.8
-4.7389474,-4.9382997,1.6713476,0.61,1.8
-4.731302,-4.909108,1.6732228,0.62,1.8
-4.723256,-4.880237,1.6750911,0.63,1.8
-4.714831,-4.8516912,1.6769489,0.64,1.8
-4.7060432,-4.8234715,1.6787937,0.65,1.8
-4.6969147,-4.795583,1.680622,0.66,1.8
-4.687463,-4.768025,1.6824343,0.67,1.8
-4.677705,-4.7407985,1.6842258,0.68,1.8
-4.667658,-4.7139053,1.6859976,0.69,1.8
-4.657342,-4.687343,1.687746,0.7,1.8
-4.6467705,-4.6611137,1.6894709,0.71,1.8
-4.6359606,-4.6352143,1.6911709,0.72,1.8
-4.6249294,-4.6096444,1.6928457,0.73,1.8
-4.6136894,-4.5844035,1.6944938,0.74,1.8
-4.6022577,-4.5594893,1.6961151,0.75,1.8
-4.5906477,-4.5348983,1.697709,0.76,1.8
-4.5788717,-4.5106297,1.6992732,0.77,1.8
-4.566943,-4.4866796,1.7008098,0.78,1.8
-4.5548744,-4.4630456,1.7023184,0.79,1.8
-4.5426793,-4.4397264,1.7037956,0.8,1.8
-4.530367,-4.416717,1.7052441,0.81,1.8
-4.517949,-4.3940153,1.706662,0.82,1.8
-4.505438,-4.371617,1.7080513,0.83,1.8
-4.4928412,-4.3495197,1.7094083,0.84,1.8
-4.4801702,-4.3277187,1.7107363,0.85,1.8
-4.467433,-4.306212,1.7120339,0.86,1.8
-4.4546413,-4.284997,1.7133003,0.87,1.8
-4.441799,-4.2640667,1.7145361,0.88,1.8
-4.4289174,-4.2434187,1.7157409,0.89,1.8
-4.4160028,-4.2230506,1.7169155,0.9,1.8
-4.4030633,-4.2029567,1.7180592,0.91,1.8
-4.390105,-4.1831346,1.7191701,0.92,1.8
-4.3771334,-4.1635795,1.720251,0.93,1.8
-4.3641577,-4.1442885,1.7212993,0.94,1.8
-4.3511806,-4.125257,1.7223173,0.95,1.8
-4.33821,-4.1064816,1.7233037,0.96,1.8
-4.32525,-4.0879583,1.7242576,0.97,1.8
-4.312306,-4.069684,1.7251794,0.98,1.8
-4.2993817,-4.051653,1.7260697,0.99,1.8
-4.286482,-4.0338626,1.7269281,1.0,1.8
-4.1379933,-6.0853066,2.0423512,0.01,1.9
-4.140013,-6.08538,2.0407622,0.02,1.9
-4.1433754,-6.085469,2.0381413,0.03,1.9
-4.1480675,-6.0855193,2.034526,0.04,1.9
-4.154072,-6.0854645,2.029968,0.05,1.9
-4.161361,-6.0852165,2.024535,0.06,1.9
-4.169903,-6.084679,2.018305,0.07,1.9
-4.1796484,-6.0837417,2.0113657,0.08,1.9
-4.190543,-6.082292,2.0038133,0.09,1.9
-4.2025194,-6.080212,1.9957494,0.1,1.9
-4.215498,-6.0773892,1.9872786,0.11,1.9
-4.2293944,-6.073712,1.9785025,0.12,1.9
-4.244115,-6.069079,1.9695282,0.13,1.9
-4.2595596,-6.0634,1.9604533,0.14,1.9
-4.2756295,-6.056599,1.9513679,0.15,1.9
-4.292225,-6.048613,1.9423606,0.16,1.9
-4.309244,-6.039394,1.9335092,0.17,1.9
-4.3265886,-6.028905,1.9248816,0.18,1.9
-4.344169,-6.0171323,1.9165392,0.19,1.9
-4.3618946,-6.0040703,1.9085349,0.2,1.9
-4.37968,-5.9897227,1.900911,0.21,1.9
-4.3974485,-5.974113,1.893701,0.22,1.9
-4.4151278,-5.9572673,1.8869318,0.23,1.9
-4.432646,-5.939222,1.8806243,0.24,1.9
-4.4499426,-5.9200225,1.8747883,0.25,1.9
-4.4669595,-5.8997207,1.8694326,0.26,1.9
-4.483642,-5.8783674,1.8645576,0.27,1.9
-4.499938,-5.856022,1.8601581,0.28,1.9
-4.51595,-5.832699,1.855822,0.29,1.9
-4.5322466,-5.8080926,1.8486736,0.3,1.9
-4.546097,-5.785691,1.842474,0.31,1.9
-4.5594587,-5.7624516,1.8366956,0.32,1.9
-4.5723,-5.738441,1.8313268,0.33,1.9
-4.5845866,-5.713715,1.8263546,0.34,1.9
-4.5962944,-5.688337,1.8217647,0.35,1.9
-4.607398,-5.6623626,1.8175416,0.36,1.9
-4.617875,-5.6358523,1.8136703,0.37,1.9
-4.627709,-5.6088624,1.8101319,0.38,1.9
-4.6368837,-5.5814457,1.8069116,0.39,1.9
-4.6453857,-5.5536537,1.8039908,0.4,1.9
-4.653206,-5.525537,1.8013531,0.41,1.9
-4.6603384,-5.4971437,1.7989798,0.42,1.9
-4.6667767,-5.4685154,1.7968552,0.43,1.9
-4.6725197,-5.439699,1.7949641,0.44,1.9
-4.67757,-5.4107327,1.7932893,0.45,1.9
-4.6819277,-5.3816514,1.791816,0.46,1.9
-4.6855993,-5.352494,1.7905289,0.47,1.9
-4.6885915,-5.323291,1.7894148,0.48,1.9
-4.6909137,-5.294075,1.7884623,0.49,1.9
-4.692574,-5.264872,1.7876554,0.5,1.9
-4.6935854,-5.2357125,1.7869838,0.51,1.9
-4.693963,-5.206618,1.7864362,0.52,1.9
-4.693717,-5.177612,1.7860024,0.53,1.9
-4.692866,-5.148716,1.7856714,0.54,1.9
-4.6914253,-5.119949,1.7854363,0.55,1.9
-4.68941,-5.091328,1.7852845,0.56,1.9
-4.6868396,-5.0628686,1.7852126,0.57,1.9
-4.683729,-5.0345874,1.7852105,0.58,1.9
-4.6800995,-5.0064945,1.7852697,0.59,1.9
-4.675967,-4.978604,1.7853867,0.6,1.9
-4.671352,-4.950928,1.7855548,0.61,1.9
-4.666273,-4.9234734,1.785767,0.62,1.9
-4.6607475,-4.8962507,1.78602,0.63,1.9
-4.654794,-4.869267,1.7863088,0.64,1.9
-4.6484323,-4.842528,1.7866286,0.65,1.9
-4.641679,-4.816042,1.7869755,0.66,1.9
-4.634553,-4.7898107,1.7873459,0.67,1.9
-4.6270723,-4.7638435,1.7877362,0.68,1.9
-4.6192527,-4.7381387,1.7881426,0.69,1.9
-4.611112,-4.712702,1.7885641,0.7,1.9
-4.602668,-4.6875367,1.7889977,0.71,1.9
-4.593936,-4.662643,1.7894387,0.72,1.9
-4.5849314,-4.6380234,1.7898866,0.73,1.9
-4.57567,-4.6136804,1.7903398,0.74,1.9
-4.5661664,-4.5896115,1.790797,0.75,1.9
-4.556436,-4.5658197,1.7912534,0.76,1.9
-4.5464926,-4.542304,1.7917116,0.77,1.9
-4.53635,-4.5190644,1.7921665,0.78,1.9
-4.526021,-4.4961,1.7926186,0.79,1.9
-4.515518,-4.4734097,1.793066,0.8,1.9
-4.504854,-4.450992,1.7935084,0.81,1.9
-4.4940405,-4.4288464,1.7939438,0.82,1.9
-4.483089,-4.4069715,1.794371,0.83,1.9
-4.47201,-4.385365,1.7947897,0.84,1.9
-4.4608145,-4.364025,1.7951976,0.85,1.9
-4.449512,-4.342949,1.7955958,0.86,1.9
-4.4381127,-4.3221364,1.7959818,0.87,1.9
-4.426626,-4.301582,1.7963556,0.88,1.9
-4.415061,-4.281288,1.7967155,0.89,1.9
-4.403425,-4.261247,1.7970629,0.9,1.9
-4.391728,-4.241459,1.7973955,0.91,1.9
-4.3799753,-4.2219205,1.7977117,0.92,1.9
-4.368178,-4.2026296,1.7980126,0.93,1.9
-4.3563385,-4.183582,1.7982966,0.94,1.9
-4.3444667,-4.164776,1.7985632,0.95,1.9
-4.3325677,-4.1462092,1.7988122,0.96,1.9
-4.3206487,-4.1278768,1.7990433,0.97,1.9
-4.308715,-4.1097775,1.7992544,0.98,1.9
-4.296771,-4.091908,1.7994471,0.99,1.9
-4.2848234,-4.0742636,1.7996186,1.0,1.9
-4.0234957,-5.8206472,2.2733722,0.01,2.0
-4.025112,-5.8212466,2.2715125,0.02,2.0
-4.027809,-5.8222146,2.268431,0.03,2.0
-4.031612,-5.823479,2.2641695,0.04,2.0
-4.0365553,-5.824938,2.2587826,0.05,2.0
-4.0426035,-5.826553,2.2523098,0.06,2.0
-4.0497565,-5.828234,2.2448158,0.07,2.0
-4.0580025,-5.8298774,2.2363782,0.08,2.0
-4.0673237,-5.83137,2.2270842,0.09,2.0
-4.077465,-5.8334236,2.2179935,0.1,2.0
-4.088582,-5.8352065,2.2083747,0.11,2.0
-4.1006413,-5.836532,2.1982567,0.12,2.0
-4.113589,-5.8372774,2.1877377,0.13,2.0
-4.1273556,-5.8373237,2.176913,0.14,2.0
-4.1418705,-5.83656,2.1658776,0.15,2.0
-4.157055,-5.8348913,2.1547265,0.16,2.0
-4.172824,-5.83223,2.1435447,0.17,2.0
-4.1890955,-5.828504,2.1324146,0.18,2.0
-4.205784,-5.823658,2.12141,0.19,2.0
-4.222805,-5.8176455,2.110599,0.2,2.0
-4.240079,-5.810438,2.10004,0.21,2.0
-4.2575264,-5.8020186,2.0897853,0.22,2.0
-4.27507,-5.792382,2.0798788,0.23,2.0
-4.2926393,-5.781536,2.0703561,0.24,2.0
-4.310165,-5.7694936,2.0612469,0.25,2.0
-4.3275833,-5.756283,2.0525737,0.26,2.0
-4.3448358,-5.7419333,2.0443501,0.27,2.0
-4.361863,-5.726485,2.0365896,0.28,2.0
-4.378611,-5.7099786,2.0292935,0.29,2.0
-4.395035,-5.6924634,2.0224655,0.3,2.0
-4.4110856,-5.6739902,2.0160992,0.31,2.0
-4.4267206,-5.654611,2.0101879,0.32,2.0
-4.441901,-5.634381,2.0047214,0.33,2.0
-4.4573584,-5.6128135,1.9973094,0.34,2.0
-4.4717107,-5.591657,1.9894377,0.35,2.0
-4.4844785,-5.571422,1.9822545,0.36,2.0
-4.4967136,-5.5504737,1.975462,0.37,2.0
-4.508395,-5.5288706,1.9690506,0.38,2.0
-4.519498,-5.506661,1.9630057,0.39,2.0
-4.530005,-5.4838977,1.9573126,0.4,2.0
-4.5399003,-5.4606333,1.9519578,0.41,2.0
-4.5491676,-5.436914,1.946926,0.42,2.0
-4.557799,-5.412787,1.9422013,0.43,2.0
-4.565786,-5.388297,1.9377692,0.44,2.0
-4.5731215,-5.363488,1.933613,0.45,2.0
-4.5798035,-5.3384013,1.9297198,0.46,2.0
-4.58583,-5.313076,1.9260743,0.47,2.0
-4.5912027,-5.287548,1.9226625,0.48,2.0
-4.595926,-5.2618537,1.9194701,0.49,2.0
-4.6000004,-5.2360253,1.9164835,0.5,2.0
-4.6034384,-5.210094,1.913691,0.51,2.0
-4.606244,-5.1840906,1.911079,0.52,2.0
-4.6084294,-5.1580396,1.9086381,0.53,2.0
-4.6100035,-5.131968,1.9063553,0.54,2.0
-4.6109805,-5.1059012,1.9042212,0.55,2.0
-4.61137,-5.0798573,1.9022235,0.56,2.0
-4.61119,-5.053862,1.9003556,0.57,2.0
-4.6104517,-5.0279293,1.8986075,0.58,2.0
-4.609173,-5.0020804,1.8969709,0.59,2.0
-4.6073675,-4.9763308,1.8954371,0.6,2.0
-4.605053,-4.950694,1.894001,0.61,2.0
-4.6022444,-4.9251847,1.8926529,0.62,2.0
-4.598961,-4.899816,1.8913876,0.63,2.0
-4.5952153,-4.8745985,1.8901988,0.64,2.0
-4.5910273,-4.849542,1.8890812,0.65,2.0
-4.5864143,-4.824657,1.8880297,0.66,2.0
-4.5813913,-4.799952,1.8870384,0.67,2.0
-4.575977,-4.775437,1.8861026,0.68,2.0
-4.5701866,-4.7511134,1.8852192,0.69,2.0
-4.5640364,-4.726994,1.8843832,0.7,2.0
-4.557542,-4.7030773,1.8835903,0.71,2.0
-4.550721,-4.6793733,1.8828396,0.72,2.0
-4.5435886,-4.6558847,1.8821236,0.73,2.0
-4.5361586,-4.6326156,1.8814428,0.74,2.0
-4.528448,-4.609568,1.8807926,0.75,2.0
-4.5204697,-4.5867457,1.8801699,0.76,2.0
-4.5122385,-4.5641522,1.879574,0.77,2.0
-4.5037694,-4.5417867,1.8790011,0.78,2.0
-4.495073,-4.5196524,1.8784488,0.79,2.0
-4.486165,-4.497749,1.8779154,0.8,2.0
-4.4770575,-4.4760795,1.8773988,0.81,2.0
-4.467762,-4.454642,1.8768971,0.82,2.0
-4.4582906,-4.433437,1.8764082,0.83,2.0
-4.448654,-4.412466,1.8759303,0.84,2.0
-4.438866,-4.391729,1.8754627,0.85,2.0
-4.428934,-4.371224,1.8750019,0.86,2.0
-4.41887,-4.3509507,1.8745484,0.87,2.0
-4.4086843,-4.3309073,1.8741002,0.88,2.0
-4.3983855,-4.3110948,1.8736547,0.89,2.0
-4.3879833,-4.2915096,1.8732122,0.9,2.0
-4.3774858,-4.272153,1.8727698,0.91,2.0
-4.3669024,-4.253021,1.8723273,0.92,2.0
-4.3562393,-4.2341127,1.8718842,0.93,2.0
-4.3455067,-4.215427,1.8714375,0.94,2.0
-4.33471,-4.196961,1.8709879,0.95,2.0
-4.3238583,-4.1787143,1.870533,0.96,2.0
-4.3129563,-4.160683,1.8700719,0.97,2.0
-4.302011,-4.1428666,1.8696045,0.98,2.0
-4.291029,-4.125262,1.8691286,0.99,2.0
-4.280016,-4.1078672,1.8686446,1.0,2.0
-3.9324272,-5.6096883,2.457772,0.01,2.1
-3.9340138,-5.61011,2.456089,0.02,2.1
-3.9366658,-5.610788,2.4532948,0.03,2.1
-3.9403927,-5.6116824,2.4494076,0.04,2.1
-3.9452083,-5.612745,2.4444523,0.05,2.1
-3.951124,-5.613911,2.438461,0.06,2.1
-3.9581513,-5.615106,2.4314754,0.07,2.1
-3.9663253,-5.616124,2.423669,0.08,2.1
-3.9754152,-5.616983,2.4152663,0.09,2.1
-3.9833534,-5.617891,2.4087083,0.1,2.1
-3.9921765,-5.6184673,2.401679,0.11,2.1
-4.001932,-5.61899,2.3938086,0.12,2.1
-4.0130982,-5.6224957,2.3815987,0.13,2.1
-4.025118,-5.625584,2.3688722,0.14,2.1
-4.0379434,-5.628144,2.3557243,0.15,2.1
-4.051522,-5.6300654,2.342252,0.16,2.1
-4.0657935,-5.631248,2.3285534,0.17,2.1
-4.080634,-5.631805,2.3149533,0.18,2.1
-4.0957756,-5.632397,2.302407,0.19,2.1
-4.1113977,-5.632014,2.2898934,0.2,2.1
-4.127431,-5.6305966,2.2774827,0.21,2.1
-4.1438,-5.6280966,2.2652388,0.22,2.1
-4.1604347,-5.62448,2.2532163,0.23,2.1
-4.1772633,-5.619722,2.2414656,0.24,2.1
-4.1942186,-5.613813,2.2300293,0.25,2.1
-4.2112336,-5.6067495,2.2189434,0.26,2.1
-4.2282457,-5.5985417,2.2082376,0.27,2.1
-4.2451954,-5.589203,2.1979353,0.28,2.1
-4.262026,-5.5787587,2.1880553,0.29,2.1
-4.2786803,-5.5672364,2.1786077,0.3,2.1
-4.2951117,-5.5546727,2.1696007,0.31,2.1
-4.311269,-5.541105,2.161039,0.32,2.1
-4.327109,-5.5265765,2.1529212,0.33,2.1
-4.3425875,-5.5111322,2.145243,0.34,2.1
-4.357668,-5.494818,2.1379955,0.35,2.1
-4.3723154,-5.4776845,2.1311717,0.36,2.1
-4.3864927,-5.4597783,2.124759,0.37,2.1
-4.4008694,-5.440681,2.1166034,0.38,2.1
-4.4145613,-5.421391,2.1078517,0.39,2.1
-4.4264383,-5.4034476,2.0998242,0.4,2.1
-4.437785,-5.3848586,2.0921605,0.41,2.1
-4.4485846,-5.3656716,2.084854,0.42,2.1
-4.4588175,-5.3459325,2.0778897,0.43,2.1
-4.4684715,-5.325689,2.071255,0.44,2.1
-4.477534,-5.3049803,2.0649376,0.45,2.1
-4.485998,-5.283853,2.0589235,0.46,2.1
-4.4938536,-5.2623444,2.0531998,0.47,2.1
-4.5010986,-5.240497,2.0477526,0.48,2.1
-4.5077305,-5.2183466,2.0425699,0.49,2.1
-4.513747,-5.1959276,2.0376372,0.5,2.1
-4.519152,-5.1732755,2.0329435,0.51,2.1
-4.5239487,-5.1504235,2.0284746,0.52,2.1
-4.528139,-5.1274014,2.0242202,0.53,2.1
-4.5317326,-5.104237,2.020169,0.54,2.1
-4.534737,-5.080959,2.016308,0.55,2.1
-4.537159,-5.057592,2.0126293,0.56,2.1
-4.53901,-5.0341606,2.009122,0.57,2.1
-4.540302,-5.010689,2.0057738,0.58,2.1
-4.541046,-4.9871974,2.0025787,0.59,2.1
-4.541254,-4.9637036,1.9995271,0.6,2.1
-4.540942,-4.940228,1.9966089,0.61,2.1
-4.54012,-4.916787,1.9938182,0.62,2.1
-4.5388045,-4.8933973,1.9911469,0.63,2.1
-4.5370126,-4.8700747,1.9885898,0.64,2.1
-4.534754,-4.8468294,1.9861366,0.65,2.1
-4.5320477,-4.823677,1.9837837,0.66,2.1
-4.528908,-4.800628,1.9815234,0.67,2.1
-4.5253487,-4.7776933,1.9793522,0.68,2.1
-4.5213866,-4.7548833,1.9772624,0.69,2.1
-4.517038,-4.7322063,1.9752504,0.7,2.1
-4.512316,-4.7096705,1.9733118,0.71,2.1
-4.5072374,-4.687284,1.9714402,0.72,2.1
-4.501816,-4.665054,1.9696342,0.73,2.1
-4.4960675,-4.642987,1.967888,0.74,2.1
-4.490005,-4.6210847,1.9661971,0.75,2.1
-4.4836435,-4.5993567,1.9645591,0.76,2.1
-4.4769974,-4.5778046,1.9629706,0.77,2.1
-4.470081,-4.556435,1.9614289,0.78,2.1
-4.4629054,-4.5352488,1.9599302,0.79,2.1
-4.4554853,-4.514252,1.9584707,0.8,2.1
-4.4478335,-4.4934444,1.957049,0.81,2.1
-4.4399614,-4.4728303,1.9556613,0.82,2.1
-4.4318824,-4.452409,1.954308,0.83,2.1
-4.4236073,-4.4321866,1.952983,0.84,2.1
-4.415147,-4.4121585,1.9516855,0.85,2.1
-4.406514,-4.392331,1.9504131,0.86,2.1
-4.3977175,-4.3727026,1.9491646,0.87,2.1
-4.3887687,-4.3532743,1.9479362,0.88,2.1
-4.379677,-4.3340454,1.9467279,0.89,2.1
-4.370452,-4.315017,1.9455367,0.9,2.1
-4.361103,-4.296189,1.9443604,0.91,2.1
-4.3516397,-4.2775598,1.9431978,0.92,2.1
-4.3420696,-4.25913,1.9420472,0.93,2.1
-4.3324013,-4.2408986,1.9409081,0.94,2.1
-4.3226423,-4.222864,1.9397769,0.95,2.1
-4.3128004,-4.205026,1.9386535,0.96,2.1
-4.3028836,-4.187385,1.9375368,0.97,2.1
-4.292897,-4.1699367,1.9364233,0.98,2.1
-4.282849,-4.152681,1.9353139,0.99,2.1
-4.272746,-4.1356173,1.9342067,1.0,2.1
-3.8461807,-5.4265285,2.6227198,0.01,2.2
-3.84751,-5.4272294,2.6211655,0.02,2.2
-3.8497355,-5.4283767,2.6185787,0.03,2.2
-3.8528697,-5.429937,2.6149702,0.04,2.2
-3.8569329,-5.431868,2.6103506,0.05,2.2
-3.8619459,-5.4341154,2.6047394,0.06,2.2
-3.8679297,-5.4366145,2.5981567,0.07,2.2
-3.8749092,-5.4392834,2.5906403,0.08,2.2
-3.8829234,-5.441944,2.5823236,0.09,2.2
-3.891968,-5.4445925,2.5731683,0.1,2.2
-3.9020495,-5.447132,2.563225,0.11,2.2
-3.913099,-5.4494834,2.5525568,0.12,2.2
-3.9245017,-5.4516997,2.541241,0.13,2.2
-3.9368632,-5.453526,2.5293353,0.14,2.2
-3.9501538,-5.454869,2.516915,0.15,2.2
-3.964336,-5.455637,2.5040553,0.16,2.2
-3.979362,-5.455748,2.490835,0.17,2.2
-3.994088,-5.455274,2.4785926,0.18,2.2
-4.0072317,-5.4558864,2.4673622,0.19,2.2
-4.0214176,-5.4586287,2.4527116,0.2,2.2
-4.036129,-5.4605346,2.4380066,0.21,2.2
-4.0513,-5.461536,2.423323,0.22,2.2
-4.0668683,-5.4615827,2.4087307,0.23,2.2
-4.0827684,-5.460631,2.3942952,0.24,2.2
-4.0987062,-5.4594855,2.3810484,0.25,2.2
-4.11478,-5.4575334,2.3683555,0.26,2.2
-4.1309986,-5.4544954,2.3559449,0.27,2.2
-4.1473036,-5.4503646,2.343852,0.28,2.2
-4.1636333,-5.445141,2.3321052,0.29,2.2
-4.1799355,-5.438838,2.3207273,0.3,2.2
-4.1961555,-5.4314694,2.3097367,0.31,2.2
-4.212241,-5.4230614,2.2991483,0.32,2.2
-4.2281446,-5.4136405,2.2889714,0.33,2.2
-4.243821,-5.4032373,2.27921,0.34,2.2
-4.259224,-5.391888,2.2698655,0.35,2.2
-4.2743154,-5.3796334,2.2609375,0.36,2.2
-4.2890577,-5.366513,2.252421,0.37,2.2
-4.303413,-5.352568,2.2443075,0.38,2.2
-4.3173513,-5.3378434,2.2365901,0.39,2.2
-4.330841,-5.322383,2.2292576,0.4,2.2
-4.343875,-5.3062243,2.222249,0.41,2.2
-4.357305,-5.2888255,2.2128632,0.42,2.2
-4.3695393,-5.271844,2.2037868,0.43,2.2
-4.380372,-5.2556396,2.1952946,0.44,2.2
-4.3906846,-5.2388573,2.1871397,0.45,2.2
-4.400462,-5.221538,2.17931,0.46,2.2
-4.409693,-5.203722,2.1717975,0.47,2.2
-4.4183655,-5.1854486,2.1645894,0.48,2.2
-4.4264755,-5.166757,2.1576734,0.49,2.2
-4.434014,-5.1476817,2.1510375,0.5,2.2
-4.440981,-5.128261,2.1446726,0.51,2.2
-4.4473724,-5.1085258,2.1385648,0.52,2.2
-4.453191,-5.088511,2.1327033,0.53,2.2
-4.458436,-5.0682464,2.1270773,0.54,2.2
-4.4631133,-5.0477614,2.1216764,0.55,2.2
-4.4672256,-5.0270863,2.1164892,0.56,2.2
-4.4707804,-5.0062456,2.1115053,0.57,2.2
-4.473786,-4.985265,2.1067162,0.58,2.2
-4.476249,-4.964167,2.10211,0.59,2.2
-4.478181,-4.9429774,2.0976803,0.6,2.2
