MSEtrain,MSEvalid
0.0004314272,0.00041665017
0.00042820687,0.0004119613
0.00042515784,0.00040883102
0.0004223801,0.0004072689
0.0004187858,0.00040242675
0.00041532613,0.00039974903
0.00041176213,0.00039525144
0.00040766053,0.0003912662
0.00040359396,0.00038760735
0.000398813,0.00038302998
0.00039459788,0.0003799153
0.00038914452,0.00037424
0.00038374792,0.00036810106
0.00037802136,0.00036280518
0.00037204192,0.00035762737
0.0003657871,0.0003507311
0.00035903425,0.0003448042
0.00035190428,0.0003372064
0.00034448603,0.00033007923
0.00033643682,0.00032180766
0.0003280859,0.000314346
0.00031938864,0.00030535395
0.0003100694,0.00029596398
0.0003008726,0.0002876747
0.0002910617,0.00027798623
0.00028128244,0.00026667933
0.0002698069,0.00025635894
0.0002587962,0.0002457233
0.0002475613,0.00023473101
0.00023681873,0.00022434801
0.0002259801,0.00021324516
0.00021479926,0.00020271713
0.0002041813,0.00019238319
0.00019365273,0.00018189615
0.00018361927,0.00017155212
0.0001740208,0.00016274772
0.00016518134,0.0001540503
0.00015687427,0.000145795
0.00014891081,0.00013774817
0.0001417077,0.0001302355
0.00013549293,0.0001244864
0.00012950673,0.000118070224
0.00012423226,0.00011273261
0.00011912711,0.000107931206
0.00011512369,0.00010367893
0.00011095269,0.00010008353
0.00010732839,9.644458e-5
0.00010408656,9.2680006e-5
0.00010092509,8.990497e-5
9.84606e-5,8.768754e-5
9.574194e-5,8.474256e-5
9.395901e-5,8.2593804e-5
9.159789e-5,8.0791055e-5
8.9686946e-5,7.8565725e-5
8.778998e-5,7.678998e-5
8.642578e-5,7.5509524e-5
8.4829284e-5,7.3831136e-5
8.376257e-5,7.2714e-5
8.263635e-5,7.201206e-5
8.1443395e-5,7.0405666e-5
8.041188e-5,6.937379e-5
8.012363e-5,6.970291e-5
7.879814e-5,6.768906e-5
7.84435e-5,6.726159e-5
7.744134e-5,6.643784e-5
7.683344e-5,6.609314e-5
7.634113e-5,6.528746e-5
7.587467e-5,6.495324e-5
7.538416e-5,6.434105e-5
7.5009106e-5,6.4189386e-5
7.456647e-5,6.3454056e-5
7.4150106e-5,6.3286876e-5
7.398443e-5,6.3093925e-5
7.366384e-5,6.277241e-5
7.334467e-5,6.224931e-5
7.3099865e-5,6.202631e-5
7.3013514e-5,6.217724e-5
7.3088755e-5,6.1743296e-5
7.261253e-5,6.170159e-5
7.256361e-5,6.172044e-5
7.2323746e-5,6.141492e-5
7.342282e-5,6.301442e-5
7.2082126e-5,6.105699e-5
7.213277e-5,6.1277206e-5
7.199143e-5,6.0960727e-5
7.181771e-5,6.086979e-5
7.218628e-5,6.124513e-5
7.173406e-5,6.0876497e-5
7.202965e-5,6.0694987e-5
7.208353e-5,6.144132e-5
7.153733e-5,6.0561273e-5
7.140885e-5,6.0417824e-5
7.157508e-5,6.040535e-5
7.138594e-5,6.049554e-5
7.15232e-5,6.0316142e-5
7.127145e-5,6.0345476e-5
7.139103e-5,6.041745e-5
7.134826e-5,6.0419647e-5
7.1255155e-5,6.0396498e-5
7.151613e-5,6.0240327e-5
7.1575465e-5,6.0768303e-5
7.157264e-5,6.0352835e-5
7.160264e-5,6.104385e-5
7.119482e-5,6.0251703e-5
7.132688e-5,6.0218506e-5
7.128995e-5,5.9956787e-5
7.147512e-5,6.070761e-5
7.118459e-5,6.0510563e-5
7.130097e-5,6.007816e-5
7.137249e-5,6.01486e-5
7.120258e-5,6.0560105e-5
7.139511e-5,6.0092894e-5
7.150804e-5,6.053275e-5
7.108594e-5,5.99545e-5
7.1460665e-5,6.0528306e-5
7.3811396e-5,6.355133e-5
7.1107286e-5,5.997931e-5
7.132399e-5,6.0732826e-5
7.144724e-5,6.089559e-5
7.126914e-5,5.9991216e-5
7.109271e-5,5.9781145e-5
7.124442e-5,6.0009555e-5
7.147784e-5,6.0755134e-5
7.112926e-5,6.020511e-5
7.108554e-5,6.024774e-5
7.130536e-5,6.0225942e-5
7.166406e-5,6.1016188e-5
7.150547e-5,6.025902e-5
7.131161e-5,6.04821e-5
7.144054e-5,6.069115e-5
7.152398e-5,6.0654653e-5
7.1125134e-5,6.0153816e-5
7.105543e-5,5.9963128e-5
7.101548e-5,5.999135e-5
7.1410315e-5,6.0074955e-5
7.1481765e-5,6.011076e-5
7.115479e-5,6.0151495e-5
7.114099e-5,6.016835e-5
7.125919e-5,6.010526e-5
7.1176975e-5,6.0219772e-5
7.159212e-5,6.1082894e-5
7.124778e-5,6.0084098e-5
7.1458584e-5,6.030967e-5
7.163063e-5,6.0874252e-5
7.1339986e-5,6.0047045e-5
7.112916e-5,6.006684e-5
7.108045e-5,6.0181173e-5
7.1226255e-5,6.0400896e-5
