MSEtrain,MSEvalid
0.011253204,0.010970076
0.0014504838,0.001378219
0.0005119066,0.0004943202
0.00036064256,0.00035077776
0.00026967484,0.00026345855
0.00021318485,0.00020920442
0.00018727324,0.00018348596
0.00016931255,0.00016468973
0.00015102942,0.0001484872
0.0001340779,0.0001324583
0.000110908186,0.000106725674
9.269714e-5,8.8041765e-5
7.9298115e-5,7.431271e-5
6.5247885e-5,5.9685382e-5
5.816529e-5,5.2988882e-5
5.3229178e-5,4.729676e-5
4.9244394e-5,4.356783e-5
4.5329394e-5,4.0331208e-5
4.089837e-5,3.6481713e-5
3.7856964e-5,3.3894656e-5
3.5077905e-5,3.1097887e-5
3.4061828e-5,3.0218389e-5
2.9596056e-5,2.6424099e-5
2.8967435e-5,2.6296502e-5
2.5297151e-5,2.2649097e-5
2.378313e-5,2.1637179e-5
2.2933811e-5,2.1299198e-5
2.0220585e-5,1.8388051e-5
1.9218576e-5,1.780651e-5
1.7759581e-5,1.6268323e-5
1.7246879e-5,1.6120859e-5
1.539619e-5,1.3833996e-5
1.535657e-5,1.4257518e-5
1.4273877e-5,1.3353005e-5
1.713027e-5,1.6188676e-5
1.2903943e-5,1.1880819e-5
1.416788e-5,1.3260352e-5
1.3927907e-5,1.2683479e-5
1.1934479e-5,1.1072036e-5
1.393897e-5,1.3017917e-5
1.18330645e-5,1.10331275e-5
1.08639215e-5,1.00932875e-5
9.917259e-6,9.034407e-6
1.0259696e-5,9.571274e-6
9.976642e-6,9.479718e-6
1.1434629e-5,1.1097341e-5
8.9245605e-6,8.480115e-6
8.368962e-6,7.915051e-6
7.91233e-6,7.4297427e-6
8.522188e-6,8.107109e-6
7.784342e-6,7.414735e-6
7.57115e-6,7.1849577e-6
6.8501417e-6,6.6144285e-6
6.360505e-6,6.1064557e-6
6.3266575e-6,6.0465777e-6
5.9951976e-6,5.724323e-6
6.6232933e-6,6.4374353e-6
6.0394345e-6,5.7894094e-6
5.1060742e-6,4.8642987e-6
9.270259e-6,9.169186e-6
5.63101e-6,5.440742e-6
6.660691e-6,6.3907873e-6
5.901112e-6,5.79158e-6
5.576499e-6,5.3771046e-6
7.839325e-6,7.785436e-6
5.247263e-6,5.0576023e-6
4.96281e-6,4.7471267e-6
4.972713e-6,4.8274355e-6
4.1472413e-6,3.970945e-6
4.3851496e-6,4.2501356e-6
4.1333365e-6,3.946627e-6
5.7418265e-6,5.640352e-6
4.10991e-6,3.96898e-6
5.9019717e-6,5.773621e-6
4.808979e-6,4.704977e-6
5.922034e-6,5.8163487e-6
3.817258e-6,3.6667443e-6
3.8109686e-6,3.6808153e-6
6.8478457e-6,6.724473e-6
1.2805308e-5,1.2761005e-5
3.6628405e-6,3.542639e-6
3.4575362e-6,3.3503732e-6
3.264859e-6,3.1661614e-6
3.4486993e-6,3.3188828e-6
3.6336817e-6,3.5532141e-6
3.0766203e-6,2.9609184e-6
3.0634305e-6,3.0323363e-6
3.0279778e-6,2.9618368e-6
2.9126113e-6,2.824098e-6
2.8723575e-6,2.7862336e-6
2.899175e-6,2.8109253e-6
3.0331946e-6,2.9569555e-6
2.8055222e-6,2.7065078e-6
3.5225182e-6,3.4999557e-6
3.5608002e-6,3.4735137e-6
3.1977872e-6,3.1537247e-6
2.7505139e-6,2.6647938e-6
3.277843e-6,3.2188034e-6
3.4856496e-6,3.3528684e-6
3.0827678e-6,2.9851285e-6
2.5865786e-6,2.5240622e-6
2.70941e-6,2.6733192e-6
2.4997253e-6,2.4507694e-6
3.9612214e-6,3.8092323e-6
2.8707068e-6,2.822794e-6
2.3926593e-6,2.3563894e-6
3.4496359e-6,3.3174238e-6
2.815487e-6,2.739643e-6
2.4961187e-6,2.4263181e-6
3.0091653e-6,2.906909e-6
2.3568389e-6,2.3051816e-6
2.2260476e-6,2.169419e-6
2.7062626e-6,2.6575099e-6
2.9562045e-6,2.8833592e-6
2.4283352e-6,2.3601033e-6
2.3081257e-6,2.282859e-6
2.5921222e-6,2.5641407e-6
1.0240416e-5,1.000224e-5
2.63042e-6,2.5492898e-6
2.2598774e-6,2.2315799e-6
2.8383934e-6,2.7701815e-6
1.962378e-6,1.9030508e-6
2.1512956e-6,2.144227e-6
2.8105917e-6,2.8584984e-6
2.1285887e-6,2.0936e-6
1.962092e-6,1.9426143e-6
2.2245933e-6,2.1931637e-6
2.045573e-6,2.0038929e-6
3.1403836e-6,3.0989452e-6
2.1350836e-6,2.068274e-6
3.2605342e-6,3.2323849e-6
1.9910678e-6,1.9560673e-6
2.145336e-6,2.1117953e-6
2.5888908e-6,2.5919253e-6
2.0985585e-6,2.06127e-6
3.5093594e-6,3.4391878e-6
3.0395374e-6,2.9881348e-6
1.9045666e-6,1.8504571e-6
2.0070904e-6,1.9584847e-6
2.6091452e-6,2.5235397e-6
4.1249496e-6,4.0724194e-6
1.715177e-6,1.6776929e-6
2.8492243e-6,2.825231e-6
1.8609837e-6,1.8268653e-6
1.7771343e-6,1.7346946e-6
1.8604078e-6,1.8157441e-6
2.0287955e-6,1.9573426e-6
1.8815849e-6,1.842589e-6
2.0376165e-6,2.017464e-6
2.0580167e-6,1.9960157e-6
2.7004578e-6,2.626323e-6
2.49901e-6,2.4454273e-6
1.6914142e-6,1.6557383e-6
1.5444466e-6,1.4931946e-6
1.8408347e-6,1.8129559e-6
1.6013402e-6,1.5941175e-6
1.7932701e-6,1.7730641e-6
2.0847233e-6,2.0732507e-6
1.677203e-6,1.6005946e-6
1.8881041e-6,1.844319e-6
1.3580847e-6,1.3212596e-6
1.9236916e-6,1.8859278e-6
1.6692983e-6,1.6033412e-6
2.3594694e-6,2.3318278e-6
3.1431136e-6,2.9792084e-6
1.6130813e-6,1.556326e-6
1.486049e-6,1.4249862e-6
1.9829924e-6,1.958272e-6
2.77336e-6,2.7522617e-6
1.4095734e-6,1.3603333e-6
1.3681536e-6,1.3339281e-6
1.5969548e-6,1.5695501e-6
1.4262573e-6,1.3939045e-6
1.9193344e-6,1.8759398e-6
1.826196e-6,1.8010242e-6
2.1048945e-6,2.017757e-6
3.543159e-6,3.4720013e-6
2.368951e-6,2.3818968e-6
1.3659812e-6,1.3291624e-6
1.4550374e-6,1.4411065e-6
1.722697e-6,1.6660055e-6
2.2000397e-6,2.180332e-6
1.5058338e-6,1.5080313e-6
2.8415595e-6,2.7658323e-6
1.80701e-6,1.7670986e-6
2.5222837e-6,2.4979947e-6
1.1813703e-6,1.1479493e-6
2.0699883e-6,2.0781276e-6
1.632851e-6,1.6007696e-6
1.2730003e-6,1.2430494e-6
1.3745343e-6,1.3330632e-6
1.9590666e-6,1.9246813e-6
1.5953373e-6,1.5527605e-6
1.3219111e-6,1.2968826e-6
1.1677099e-6,1.1502457e-6
1.9231823e-6,1.8592046e-6
1.2364607e-6,1.2036616e-6
1.8258377e-6,1.7427727e-6
1.4395054e-6,1.4178896e-6
1.8637431e-6,1.8242922e-6
1.6431708e-6,1.6010016e-6
1.5921398e-6,1.5920306e-6
1.234089e-6,1.2057582e-6
1.6420533e-6,1.6155027e-6
1.3811739e-6,1.3627665e-6
1.2613707e-6,1.2302459e-6
3.8202797e-6,3.743198e-6
1.6263203e-6,1.5961118e-6
1.3052024e-6,1.2792871e-6
1.1910688e-6,1.161474e-6
1.1518023e-6,1.1161814e-6
3.2958221e-6,3.2719536e-6
1.3684568e-6,1.347738e-6
1.355447e-6,1.3303782e-6
1.4462607e-6,1.3661178e-6
1.1142637e-6,1.0914005e-6
4.6558307e-6,4.7178564e-6
1.5097838e-6,1.4878982e-6
1.138026e-6,1.1258659e-6
1.0904594e-6,1.0732861e-6
1.1365712e-6,1.106749e-6
1.428672e-6,1.428765e-6
6.93059e-6,6.9960197e-6
1.2018544e-6,1.1883718e-6
9.225096e-7,9.133351e-7
1.1626345e-6,1.1338105e-6
3.1863526e-6,3.1388022e-6
1.1449652e-6,1.1307671e-6
1.212171e-6,1.2091797e-6
1.6165633e-6,1.5901765e-6
1.2628759e-6,1.2277069e-6
1.4768917e-6,1.4509781e-6
1.2396638e-6,1.2519516e-6
1.1658042e-6,1.1497335e-6
1.1219418e-6,1.1162759e-6
1.381141e-6,1.3630424e-6
1.3348591e-6,1.3156863e-6
5.3567223e-6,5.3814742e-6
1.4516795e-6,1.4455561e-6
1.2356646e-6,1.2014993e-6
1.388348e-6,1.3660367e-6
1.0166102e-6,9.854051e-7
1.119539e-6,1.0861843e-6
9.339897e-7,8.9819764e-7
8.418374e-7,8.0436047e-7
1.2463636e-6,1.223433e-6
1.3293136e-6,1.3291616e-6
2.3696405e-6,2.304966e-6
2.1247006e-6,2.174495e-6
1.046281e-6,1.0319413e-6
6.323659e-7,6.2280446e-7
6.2236904e-7,6.1521683e-7
6.208682e-7,6.1408514e-7
6.1972673e-7,6.1602327e-7
6.1880974e-7,6.169726e-7
6.2199854e-7,6.1475805e-7
6.1777445e-7,6.147412e-7
6.2327047e-7,6.1713354e-7
6.133589e-7,6.080589e-7
6.1429284e-7,6.0847407e-7
6.2250064e-7,6.1668715e-7
6.178915e-7,6.1242577e-7
6.155682e-7,6.113025e-7
6.212566e-7,6.206007e-7
6.2005756e-7,6.2063816e-7
6.128472e-7,6.106861e-7
6.1468694e-7,6.1355826e-7
6.150694e-7,6.123385e-7
6.149257e-7,6.103462e-7
6.1045637e-7,6.063476e-7
6.119122e-7,6.0846634e-7
6.216782e-7,6.210846e-7
6.1233436e-7,6.1027896e-7
6.1093886e-7,6.0732845e-7
6.2012157e-7,6.1308333e-7
6.158866e-7,6.082868e-7
6.1628236e-7,6.119938e-7
6.190267e-7,6.177147e-7
6.107631e-7,6.0752353e-7
6.1098564e-7,6.0311163e-7
6.0829194e-7,6.0515464e-7
6.144773e-7,6.105894e-7
6.162727e-7,6.138575e-7
6.185145e-7,6.186058e-7
6.110138e-7,6.055493e-7
6.1038924e-7,6.0568397e-7
6.086818e-7,6.015362e-7
6.0277364e-7,5.963629e-7
6.106602e-7,6.07151e-7
6.0789966e-7,6.070152e-7
6.0519784e-7,6.0300573e-7
6.135794e-7,6.1002044e-7
6.050286e-7,6.011385e-7
6.1303115e-7,6.094928e-7
6.0520125e-7,6.042653e-7
6.116854e-7,6.082542e-7
6.1326455e-7,6.0527265e-7
6.038541e-7,5.98994e-7
6.1537753e-7,6.158399e-7
6.1567977e-7,6.1225666e-7
6.119045e-7,6.0774113e-7
6.027204e-7,5.9968175e-7
6.241104e-7,6.191794e-7
6.088249e-7,6.04971e-7
6.012041e-7,5.981443e-7
6.0188086e-7,5.9537047e-7
6.059664e-7,6.0518215e-7
6.060175e-7,6.0547853e-7
6.018933e-7,5.997688e-7
6.0584455e-7,5.999977e-7
5.9963935e-7,5.9685505e-7
6.0477856e-7,6.03613e-7
5.993554e-7,5.9798293e-7
6.082114e-7,6.0543715e-7
5.998509e-7,5.973391e-7
6.0193145e-7,6.02943e-7
6.001626e-7,6.0392125e-7
6.085013e-7,6.0305877e-7
6.179158e-7,6.1274113e-7
6.0309173e-7,5.9616445e-7
6.175881e-7,6.204619e-7
