MSEtrain,MSEvalid
0.031060813,0.03088602
0.010793407,0.010504517
0.0038585064,0.0036446818
0.0026271655,0.002471886
0.0016257985,0.0015414616
0.00086437986,0.00083018944
0.00057341275,0.00055387995
0.00047106727,0.0004576184
0.00041807472,0.00040809138
0.00037576037,0.00036849797
0.00034083406,0.00033334573
0.00031357288,0.00030832636
0.00028506902,0.00027900087
0.00025970174,0.0002541055
0.00023896439,0.00023333216
0.00022230054,0.00021650612
0.00020953624,0.00020361177
0.00020242257,0.00019769737
0.00019580273,0.0001899182
0.00018909818,0.00018396748
0.00018744955,0.00018221041
0.00018132065,0.0001752239
0.00017922779,0.00017440454
0.00017487002,0.00017029693
0.00017317248,0.00016896779
0.0001709905,0.00016598299
0.00016798731,0.00016479183
0.00016572536,0.00016194898
0.00016286115,0.0001595644
0.00016178869,0.00015863839
0.00015995574,0.00015749867
0.00015853217,0.00015625863
0.00015621286,0.00015405213
0.00015433268,0.00015272068
0.0001567262,0.00015508727
0.0001527972,0.00015191796
0.00015134746,0.00014988861
0.00014882947,0.00014853379
0.00015105175,0.00015141114
0.00014619825,0.00014708425
0.00014313233,0.00014382674
0.00014121839,0.00014167909
0.00014025561,0.00014173554
0.00013910621,0.00014018985
0.00013458038,0.00013498502
0.00013292555,0.00013355674
0.00012808637,0.00012756888
0.00012554108,0.00012517409
0.0001226681,0.000121409896
0.00011619521,0.00011517656
0.00011208851,0.00010917428
0.0001049126,0.000101865095
9.962959e-5,9.601465e-5
9.197822e-5,8.7481334e-5
8.48224e-5,7.936682e-5
8.169007e-5,7.566879e-5
7.2110604e-5,6.585342e-5
6.766747e-5,6.1801635e-5
6.468345e-5,5.9516045e-5
6.0140803e-5,5.4233322e-5
5.9068785e-5,5.2586143e-5
5.7904075e-5,5.254013e-5
5.6544923e-5,4.900557e-5
5.268009e-5,4.6139154e-5
5.2189433e-5,4.541109e-5
5.2161115e-5,4.64558e-5
4.9454775e-5,4.3625114e-5
4.9819137e-5,4.3240507e-5
4.875557e-5,4.2526397e-5
4.762953e-5,4.2267708e-5
4.673999e-5,4.1343053e-5
4.6593756e-5,4.1298146e-5
4.7385613e-5,4.152345e-5
4.5320838e-5,3.976715e-5
4.5812547e-5,4.0258114e-5
4.495499e-5,4.040532e-5
4.4385422e-5,3.8932994e-5
4.4164346e-5,3.8918482e-5
4.5246794e-5,4.0506875e-5
4.4804317e-5,3.9954895e-5
4.372025e-5,3.9053855e-5
4.4065488e-5,3.8805712e-5
4.272573e-5,3.8061105e-5
4.3125485e-5,3.817846e-5
4.2249136e-5,3.7305865e-5
4.311494e-5,3.7993363e-5
4.385189e-5,3.8310674e-5
4.1886273e-5,3.6210757e-5
4.1032945e-5,3.6365254e-5
4.013603e-5,3.527969e-5
4.0865158e-5,3.5823265e-5
3.9783587e-5,3.5227935e-5
4.0637085e-5,3.530124e-5
3.878106e-5,3.424163e-5
4.0258456e-5,3.657894e-5
4.0528146e-5,3.6475085e-5
3.7758582e-5,3.286796e-5
3.7124242e-5,3.3020326e-5
3.619929e-5,3.165416e-5
3.6275575e-5,3.167847e-5
3.7085567e-5,3.3011995e-5
3.7581605e-5,3.2752145e-5
3.5027166e-5,2.9965626e-5
3.4349945e-5,3.0116611e-5
3.335515e-5,2.87887e-5
3.5075176e-5,3.122887e-5
3.273962e-5,2.8840697e-5
3.1481217e-5,2.7624887e-5
3.1779382e-5,2.7252776e-5
3.094577e-5,2.7084934e-5
3.0505951e-5,2.6839543e-5
2.9726434e-5,2.5626183e-5
3.0060737e-5,2.665081e-5
2.8584087e-5,2.5053383e-5
2.7812732e-5,2.4090585e-5
2.7829536e-5,2.4187142e-5
2.8636157e-5,2.4953742e-5
2.8478968e-5,2.5446498e-5
2.7360657e-5,2.448512e-5
2.5593317e-5,2.2080947e-5
2.4641738e-5,2.0934942e-5
2.4050672e-5,2.11948e-5
2.3764265e-5,2.08606e-5
2.586952e-5,2.29977e-5
2.4035908e-5,2.0772815e-5
2.1957052e-5,1.8861962e-5
2.153779e-5,1.8316048e-5
2.165985e-5,1.8707198e-5
2.219228e-5,1.9367448e-5
2.1072905e-5,1.8030643e-5
2.0468595e-5,1.7392375e-5
2.011856e-5,1.7437149e-5
2.0466085e-5,1.7834356e-5
2.0094858e-5,1.7142971e-5
1.8866678e-5,1.6497013e-5
1.864209e-5,1.6134105e-5
1.9510206e-5,1.6852102e-5
1.7631419e-5,1.48321815e-5
1.8421924e-5,1.6142963e-5
1.7881974e-5,1.5472995e-5
1.7275475e-5,1.4796637e-5
1.688534e-5,1.4408845e-5
1.7052642e-5,1.4794815e-5
1.6433207e-5,1.4150264e-5
1.6449061e-5,1.4018567e-5
1.6623206e-5,1.5400541e-5
1.6159835e-5,1.4418814e-5
1.5610001e-5,1.3998828e-5
1.5439893e-5,1.388268e-5
1.5178576e-5,1.3630192e-5
1.52635e-5,1.4317474e-5
1.4740569e-5,1.3408639e-5
1.5654357e-5,1.4834394e-5
1.4528762e-5,1.2979685e-5
1.5955728e-5,1.4457184e-5
1.45052845e-5,1.33616095e-5
1.4198672e-5,1.3168085e-5
1.3978691e-5,1.2569726e-5
1.4583488e-5,1.33914855e-5
1.3824958e-5,1.2414502e-5
1.4381624e-5,1.3380713e-5
1.4451305e-5,1.3363521e-5
1.4186391e-5,1.3030214e-5
1.4212964e-5,1.2654441e-5
1.3679171e-5,1.2619647e-5
1.4448189e-5,1.3454207e-5
1.3626989e-5,1.2172403e-5
1.3104204e-5,1.1763826e-5
1.3118378e-5,1.2036092e-5
1.31721545e-5,1.2048855e-5
1.2794122e-5,1.1412089e-5
1.28916345e-5,1.1648678e-5
1.3439832e-5,1.2508754e-5
1.2704454e-5,1.1366782e-5
1.2556918e-5,1.1583282e-5
1.33522135e-5,1.1905737e-5
1.2808456e-5,1.1416596e-5
1.2112699e-5,1.0972023e-5
1.252071e-5,1.1604844e-5
1.35128275e-5,1.2943065e-5
1.3034838e-5,1.1546558e-5
1.2094962e-5,1.0531384e-5
1.2151878e-5,1.078452e-5
1.1604891e-5,1.02750855e-5
1.1261586e-5,9.870286e-6
1.1112627e-5,9.353997e-6
1.1521829e-5,9.79806e-6
1.1456159e-5,1.0184933e-5
1.1365529e-5,1.0062444e-5
1.06102725e-5,9.2763285e-6
1.0729608e-5,9.389163e-6
1.4577469e-5,1.3830961e-5
9.867024e-6,8.250614e-6
9.813611e-6,8.500317e-6
